"POSITION","BEGIN","END","SENSORTYPE","SENSORTYPE_ARGS","COMMENT"

"8","1970-01-01 00:00:00","2010-06-22 00:00:00+02:00","adcmux_sr",,
"10","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"11","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,
"12","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_sr",,

"1","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_tc",,
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_tc",,
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_tc",,
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_tc",,

"5","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_tm",,
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","adcmux_tm",,

"1","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_nctt","1",
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_nctt","1",
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_nctt","2",
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_nctt","1",

"5","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_nepn",,
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_nepn",,

"6","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_tctc","1",

"8","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_nctc","1",

"10","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_ntnn",,
"11","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_ntnn",,
"12","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_ntnn",,

"13","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_sp",,

"5","1970-01-01 00:00:00","9999-01-01 00:00:00","digital_ps",,
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","digital_ps",,

"9","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_ccct","1",

"20","1970-01-01 00:00:00","2012-06-15 00:00:00","adccomdiff_ccnn","1",
"20","2012-06-15 00:00:00","9999-01-01 00:00:00","adccomdiff_ccnn","4",
"21","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_ccnn","2",
"22","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_ccnn","3",

"1","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","273088657",
"2","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264310762",
"3","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","273186019",
"4","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","273123550",
"5","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","273096831",
"6","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","264307496",
